Probeset ID,Sequence ID,MGI ID,Gene Symbol,Gene Name,Chromosome,Start Coordinate,End Coordinate,Strand
10344821,NM_026493,MGI:2681832,Cspp1,centrosome and spindle pole associated protein 1,1,10028299,10126849,+
10344835,---,---,,,,,,
10344837,NM_029525,MGI:1923385,Prex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",1,11248121,11288956,+
10344879,BC137903,MGI:2444149,A830018L16Rik,RIKEN cDNA A830018L16 gene,1,11404186,11965982,+
10344895,XR_032183,---,,,,,,
10344897,NM_172294,MGI:2138563,Sulf1,sulfatase 1,1,12708626,12850452,+
10344922,XR_032242,---,,,,,,
10344924,NM_001011873,MGI:2686466,Xkr9,X Kell blood group precursor related family member 9 homolog,1,13658852,13691804,+
10344929,ENSMUST00000067599,MGI:3642739,Gm9947,predicted gene 9947,1,14745535,14748454,+
10344931,NM_016980,MGI:102854,Rpl5,ribosomal protein L5,5,108329521,108338024,+
10344933,---,---,,,,,,
10344935,NM_001098528,MGI:99632,Kcnb2,"potassium voltage gated channel, Shab-related subfamily, member 2",1,15302533,15706448,+
10344939,NM_009352,MGI:109634,Terf1,telomeric repeat binding factor 1,1,15795739,15833510,+
10344950,XM_001473720,---,,,,,,
10344952,NM_133832,MGI:1924238,Rdh10,retinol dehydrogenase 10 (all-trans),1,16095855,16123815,+
10344960,NM_027415,MGI:1915068,Tmem70,transmembrane protein 70,1,16655272,16668356,+
10344966,NM_016923,MGI:1341909,Ly96,lymphocyte antigen 96,1,16678537,16699686,+
10344973,NM_010267,MGI:1338002,Gdap1,ganglioside-induced differentiation-associated-protein 1,1,17135443,17154352,+
10344981,NM_053191,MGI:1934659,Pi15,peptidase inhibitor 15,1,17592076,17615528,+
10344990,NM_031402,MGI:1934666,Crispld1,cysteine-rich secretory protein LCCL domain containing 1,1,17717126,17756425,+
10345007,NM_153154,MGI:2153466,Tcfap2d,"transcription factor AP-2, delta",1,19093103,19156427,+
10345016,NM_001025305,MGI:104672,Tcfap2b,transcription factor AP-2 beta,1,19198995,19228815,+
10345025,---,---,,,,,,
10345028,---,---,,,,,,
10345030,---,---,,,,,,
10345032,NM_010552,MGI:107364,Il17a,interleukin 17A,1,20720986,20724577,+
10345037,NM_028829,MGI:1921479,Paqr8,progestin and adipoQ receptor family member VIII,1,20880703,20928837,+
10345046,EU520262,MGI:1919127,Efhc1,EF-hand domain (C-terminal) containing 1,1,20941707,20980919,+
10345058,NM_029398,MGI:1922962,Tmem14a,transmembrane protein 14A,1,21208656,21220248,+
10345065,NM_001077353,MGI:95856,Gsta3,"glutathione S-transferase, alpha 3",1,21230670,21255442,+
10345074,BC087905,MGI:2677454,Cetn4,centrin 4,3,37206671,37211630,-
10345077,NM_183322,MGI:2676610,Khdc1a,KH domain containing 1A,1,21339722,21342281,+
10345079,NM_183322,MGI:2676610,Khdc1a,KH domain containing 1A,1,21339722,21342281,+
10345083,NM_001113187,MGI:2138477,Khdc1b,KH domain containing 1B,1,21373637,21376454,+
10345087,---,---,,,,,,
10345089,---,---,,,,,,
10345091,NM_172124,MGI:2389490,B3gat2,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)",1,23768592,23855997,+
10345099,AK005585,---,,,,,,
10345101,NM_007740,MGI:88465,Col9a1,"collagen, type IX, alpha 1",1,24184449,24259523,+
10345141,NM_026719,MGI:1915671,Lmbrd1,LMBR1 domain containing 1,1,24685383,24823144,+
10345167,XR_031920,---,,,,,,
10345172,ENSMUST00000064487,MGI:3642830,Gm9884,predicted gene 9884,1,25887502,25888723,+
10345174,---,---,,,,,,
10345181,XM_915073,---,,,,,,
10345183,NM_194446,MGI:2448549,Cdk10,cyclin-dependent kinase 10,8,125748741,125756150,+
10345190,NM_153601,MGI:2672844,Lgsn,"lengsin, lens protein with glutamine synthetase domain",1,31233251,31261501,+
10345197,NM_029062,MGI:1921958,4930521A18Rik,RIKEN cDNA 4930521A18 gene,1,31279684,31281132,+
10345200,---,---,,,,,,
10345203,NM_153783,MGI:1916983,Paox,polyamine oxidase (exo-N4-amino),7,147311556,147320233,+
10345206,---,---,,,,,,
10345212,NM_133235,MGI:2159649,Khdrbs2,"KH domain containing, RNA binding, signal transduction associated 2",1,32229651,32714583,+
10345224,---,---,,,,,,
10345226,---,---,,,,,,
10345228,ENSMUST00000051203,MGI:1914753,1700001G17Rik,RIKEN cDNA 1700001G17 gene,1,33726688,33727557,+
10345230,NM_008999,MGI:99833,Rab23,"RAB23, member RAS oncogene family",1,33776727,33799409,+
10345241,NM_134448,MGI:104627,Dst,dystonin,1,34068670,34365497,+
10345350,---,---,,,,,,
10345352,---,---,,,,,,
10345357,NM_178601,MGI:106572,Imp4,"IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)",1,34496696,34502581,+
10345368,ENSMUST00000097783,---,,,,,,
10345370,NM_011206,MGI:108410,Ptpn18,"protein tyrosine phosphatase, non-receptor type 18",1,34516591,34530629,+
10345387,NM_009355,MGI:1270856,Prss39,"protease, serine, 39",1,34555275,34559907,+
10345393,NM_007685,MGI:109448,Cfc1,"cripto, FRL-1, cryptic family 1",1,34592493,34601156,+
10345401,BC070435,MGI:3026939,Fam123c,"family with sequence similarity 123, member C",1,34636572,34647786,+
10345404,AK082264,MGI:3045297,C230030N03Rik,RIKEN cDNA C230030N03 gene,1,34735033,34781146,+
10345406,---,---,,,,,,
10345409,---,---,,,,,,
10345411,NM_183019,MGI:2442507,Arhgef4,Rho guanine nucleotide exchange factor (GEF) 4,1,34778769,34870154,+
10345423,NM_145516,MGI:2385825,Plekhb2,"pleckstrin homology domain containing, family B (evectins) member 2",1,34906821,34936425,+
10345436,X16670,---,,,,,,
10345438,---,---,,,,,,
10345440,---,---,,,,,,
10345442,NM_015818,MGI:1354958,Hs6st1,heparan sulfate 6-O-sulfotransferase 1,1,36125245,36163291,+
10345445,NM_145996,MGI:2443039,Arid5a,AT rich interactive domain 5A (MRF1-like),1,36364578,36380874,+
10345457,AK132955,MGI:3616091,Fer1l5,fer-1-like 5 (C. elegans),1,36473733,36478955,+
10345482,NM_033570,MGI:2151060,Cnnm4,cyclin M4,1,36528465,36565609,+
10345492,NM_001039551,MGI:2151055,Cnnm3,cyclin M3,1,36568712,36585082,+
10345504,NM_009942,MGI:88475,Cox5b,"cytochrome c oxidase, subunit Vb",1,36748332,36750230,+
10345509,NM_009539,MGI:99613,Zap70,zeta-chain (TCR) associated protein kinase,1,36818706,36839661,+
10345527,---,---,,,,,,
10345529,BC147491,MGI:1918103,Vwa3b,von Willebrand factor A domain containing 3B,1,37083441,37133841,+
10345546,XR_032810,---,,,,,,
10345548,XR_032810,---,,,,,,
10345550,XR_032810,---,,,,,,
10345552,XR_032810,---,,,,,,
10345554,XR_032810,---,,,,,,
10345556,XR_032810,---,,,,,,
10345558,BC050813,MGI:1918103,Vwa3b,von Willebrand factor A domain containing 3B,1,37083441,37133841,+
10345571,NM_009918,MGI:1341818,Cnga3,cyclic nucleotide gated channel alpha 3,1,37275181,37320229,+
10345580,NM_030266,MGI:1931123,Inpp4a,"inositol polyphosphate-4-phosphatase, type I",1,37356710,37467581,+
10345608,NM_026123,MGI:1914637,Unc50,unc-50 homolog (C. elegans),1,37487015,37495969,+
10345616,NM_001037918,MGI:3645211,Lipt1,lipoyltransferase 1,1,37928583,37934232,+
10345620,NM_027098,MGI:1333820,Mrpl30,mitochondrial ribosomal protein L30,1,37947322,37955380,+
10345626,NM_198303,MGI:2441772,Eif5b,eukaryotic translation initiation factor 5B,1,38054855,38112424,+
10345656,NM_001011684,MGI:3583618,Nms,neuromedin S,1,38995994,39007123,+
10345666,NM_026850,MGI:1916083,Pdcl3,phosducin-like 3,1,39044659,39054081,+
10345675,NM_008719,MGI:109232,Npas2,neuronal PAS domain protein 2,1,39251044,39419031,+
10345698,NM_053257,MGI:2149632,Rpl31,ribosomal protein L31,1,39424764,39428752,+
10345704,---,---,,,,,,
10345706,BC049091,MGI:106580,D1Bwg0212e,"DNA segment, Chr 1, Brigham & Women's Genetics 0212 expressed",1,39591837,39603726,+
10345715,NM_008696,MGI:1349394,Map4k4,mitogen-activated protein kinase kinase kinase kinase 4,1,39958075,40081770,+
10345752,NM_010555,MGI:96546,Il1r2,"interleukin 1 receptor, type II",1,40141613,40182064,+
10345762,NM_008362,MGI:96545,Il1r1,"interleukin 1 receptor, type I",1,40281925,40373022,+
10345777,NM_133193,MGI:1913107,Il1rl2,interleukin 1 receptor-like 2,1,40381472,40422316,+
10345791,NM_001025602,MGI:98427,Il1rl1,interleukin 1 receptor-like 1,1,40496621,40522241,+
10345807,NM_008365,MGI:105383,Il18r1,interleukin 18 receptor 1,1,40522851,40557678,+
10345824,NM_010553,MGI:1338888,Il18rap,interleukin 18 receptor accessory protein,1,40572207,40608550,+
10345840,NM_177084,MGI:105074,Slc9a4,"solute carrier family 9 (sodium/hydrogen exchanger), member 4",1,40637072,40687576,+
10345855,NM_001033289,MGI:105075,Slc9a2,"solute carrier family 9 (sodium/hydrogen exchanger), member 2",1,40738557,40825730,+
10345869,NM_001081198,MGI:1923725,Tmem182,transmembrane protein 182,1,40862446,40912112,+
10345875,---,---,,,,,,
10345877,ENSMUST00000066196,MGI:3641924,Gm9915,predicted gene 9915,1,42286571,42287953,+
10345879,NM_008900,MGI:102564,Pou3f3,"POU domain, class 3, transcription factor 3",1,42753991,42755484,+
10345882,NM_023514,MGI:1916777,Mrps9,mitochondrial ribosomal protein S9,1,42908128,42962525,+
10345895,NM_053107,MGI:2135882,Gpr45,G protein-coupled receptor 45,1,43009808,43092294,+
10345902,ENSMUST00000039080,MGI:1918774,8430432A02Rik,RIKEN cDNA 8430432A02 gene,1,43149433,43150680,+
10345904,BC006931,MGI:2138299,AI597479,expressed sequence AI597479,1,43155555,43172792,+
10345909,NM_009082,MGI:99687,Rpl29,ribosomal protein L29,9,106331785,106333899,+
10345911,---,---,,,,,,
10345913,NM_010879,MGI:1306821,Nck2,non-catalytic region of tyrosine kinase adaptor protein 2,1,43502596,43627360,+
10345921,NM_024283,MGI:1926146,1500015O10Rik,RIKEN cDNA 1500015O10 gene,1,43787447,43799423,+
10345926,BC002254,MGI:1926146,1500015O10Rik,RIKEN cDNA 1500015O10 gene,1,43787447,43799423,+
10345928,---,---,,,,,,
10345930,NM_009418,MGI:102724,Tpp2,tripeptidyl peptidase II,1,43990852,44059816,+
10345967,NM_144558,MGI:2179809,Bivm,"basic, immunoglobulin-like variable motif containing",1,44175802,44201615,+
10345981,NM_011729,MGI:103582,Ercc5,"excision repair cross-complementing rodent repair deficiency, complementation group 5",1,44204692,44238105,+
10346000,NM_028450,MGI:1920407,Gulp1,"GULP, engulfment adaptor PTB domain containing 1",1,44608356,44853678,+
10346015,NM_009930,MGI:88453,Col3a1,"collagen, type III, alpha 1",1,45368383,45406551,+
10346067,---,---,,,,,,
10346069,XM_001477007,---,,,,,,
10346072,---,---,,,,,,
10346074,NM_028599,MGI:1920924,Wdr75,WD repeat domain 75,1,45852011,45880464,+
10346098,---,---,,,,,,
10346105,ENSMUST00000085632,MGI:3646201,Rpl23a-ps1,"ribosomal protein 23A, pseudogene 1",1,46038393,46038860,+
10346107,ENSMUST00000097760,---,,,,,,
10346109,ENSMUST00000069293,MGI:2684953,Dnahc7b,"dynein, axonemal, heavy chain 7B",1,46123583,46430395,+
10346114,---,---,,,,,,
10346116,---,---,,,,,,
10346137,XR_033155,---,,,,,,
10346139,---,---,,,,,,
10346141,ENSMUST00000056879,MGI:3045370,C230029F24Rik,RIKEN cDNA C230029F24 gene,1,49301460,49395090,+
10346146,XM_001487804,---,,,,,,
10346150,NM_019790,MGI:1861735,Tmeff2,transmembrane protein with EGF-like and two follistatin-like domains 2,1,50957491,51244114,+
10346164,NM_138741,MGI:99513,Sdpr,serum deprivation response,1,51345970,51359803,+
10346168,NM_011487,MGI:103062,Stat4,signal transducer and activator of transcription 4,1,52065088,52164028,+
10346191,NM_009283,MGI:103063,Stat1,signal transducer and activator of transcription 1,1,52176282,52218704,+
10346222,X16670,---,,,,,,
10346224,ENSMUST00000087708,MGI:2444113,Tmem194b,transmembrane protein 194B,1,52687591,52707480,+
10346235,NM_146108,MGI:1923792,Hibch,3-hydroxyisobutyryl-Coenzyme A hydrolase,1,52901857,52977830,+
10346250,NM_010834,MGI:95691,Mstn,myostatin,1,53118507,53124923,+
10346255,NM_145517,MGI:2181669,Ormdl1,ORM1-like 1 (S. cerevisiae),1,53353939,53367153,+
10346260,NM_028091,MGI:1919335,Osgepl1,O-sialoglycoprotein endopeptidase-like 1,1,53370468,53383187,+
10346269,NM_030025,MGI:1925266,Ccdc150,coiled-coil domain containing 150,1,54307527,54425571,+
10346298,NM_001039710,MGI:1915126,Coq10b,coenzyme Q10 homolog B (S. cerevisiae),1,55109614,55129545,+
10346303,NM_008303,MGI:104680,Hspe1,heat shock protein 1 (chaperonin 10),1,55144976,55148151,+
10346310,NM_025283,MGI:104899,Mobkl3,"MOB1, Mps One Binder kinase activator-like 3 (yeast)",1,55188075,55211743,+
10346321,ENSMUST00000097736,MGI:3648163,Gm10561,predicted gene 10561,1,55283095,55292466,+
10346323,NM_175439,MGI:2444136,Mars2,methionine-tRNA synthetase 2 (mitochondrial),1,55294021,55296902,+
10346328,BC132343,MGI:2444136,Mars2,methionine-tRNA synthetase 2 (mitochondrial),1,55294021,55296902,+
10346330,NM_001114663,MGI:3036262,Plcl1,phospholipase C-like 1,1,55463232,55808646,+
10346337,ENSMUST00000042734,MGI:1920717,1700066M21Rik,RIKEN cDNA 1700066M21 gene,1,57434464,57440801,+
10346340,BC071241,MGI:1915365,9430016H08Rik,RIKEN cDNA 9430016H08 gene,1,57463172,57474797,+
10346348,BC021879,MGI:1914448,Spats2l,"spermatogenesis associated, serine-rich 2-like",1,57831006,58005238,+
10346365,NM_199007,MGI:1098767,Sgol2,shugoshin-like 2 (S. pombe),1,58052815,58082743,+
10346374,NM_009676,MGI:88035,Aox1,aldehyde oxidase 1,1,58086775,58163257,+
10346410,NM_023617,MGI:1918974,Aox3,aldehyde oxidase 3,1,58169974,58257542,+
10346448,NM_023631,MGI:1919122,Aox4,aldehyde oxidase 4,1,58267241,58325441,+
10346485,NM_001008419,MGI:3529596,Aox3l1,aldehyde oxidase 3-like 1,1,58335170,58436108,+
10346523,NM_025824,MGI:1914132,Bzw1,basic leucine zipper and W2 domains 1,1,58449980,58463392,+
10346533,NM_022988,MGI:1929485,Nif3l1,Ngg1 interacting factor 3-like 1 (S. pombe),1,58501995,58538660,+
10346544,NM_025597,MGI:1913745,Ndufb3,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3,1,58643228,58652808,+
10346549,NM_007624,MGI:108515,Cbx3,chromobox homolog 3 (Drosophila HP1 gamma),6,51420359,51433703,+
10346551,NM_207653,MGI:1336166,Cflar,CASP8 and FADD-like apoptosis regulator,1,58768352,58815728,+
10346562,NM_207653,MGI:1336166,Cflar,CASP8 and FADD-like apoptosis regulator,1,58768352,58815728,+
10346564,NM_009812,MGI:1261423,Casp8,caspase 8,1,58852218,58904347,+
10346576,NM_172656,MGI:2144047,Stradb,STE20-related kinase adaptor beta,1,59030366,59052559,+
10346592,AK144579,MGI:3641700,G730003C15Rik,RIKEN cDNA G730003C15 gene,1,,,
10346594,BC147314,MGI:3583944,Cdk15,cyclin-dependent kinase 15,1,59313750,59409837,+
10346607,NM_008057,MGI:108570,Fzd7,frizzled homolog 7 (Drosophila),1,59539268,59543803,+
10346611,NM_001013771,MGI:2685819,Gm973,predicted gene 973,1,59573108,59691352,+
10346634,NM_018868,MGI:1933184,Nop58,NOP58 ribonucleoprotein homolog (yeast),1,59741850,59768354,+
10346651,NM_007561,MGI:1095407,Bmpr2,"bone morphogenic protein receptor, type II (serine/threonine kinase)",1,59821481,59927703,+
10346668,NM_001037725,MGI:1920000,Fam117b,"family with sequence similarity 117, member B",1,59969850,60042190,+
10346678,NM_139150,MGI:2182269,Carf,calcium response factor,1,60155091,60207876,+
10346695,NM_173444,MGI:2444343,Nbeal1,neurobeachin like 1,1,60238339,60395172,+
10346722,NM_173444,MGI:2444343,Nbeal1,neurobeachin like 1,1,60238339,60395172,+
10346747,NM_030013,MGI:1925201,Cyp20a1,"cytochrome P450, family 20, subfamily A, polypeptide 1",1,60400167,60444904,+
10346762,---,---,,,,,,
10346764,NM_198127,MGI:106913,Abi2,abl-interactor 2,1,60466642,60538002,+
10346780,NM_144958,MGI:95303,Eif4a1,eukaryotic translation initiation factor 4A1,11,69480438,69485925,-
10346783,NM_007642,MGI:88327,Cd28,CD28 antigen,1,60773644,60830203,+
10346790,NM_009843,MGI:88556,Ctla4,cytotoxic T-lymphocyte-associated protein 4,1,60943844,60972676,+
10346799,NM_017480,MGI:1858745,Icos,inducible T-cell co-stimulator,1,61034771,61057164,+
10346808,BC091759,MGI:2448270,Rpl17,ribosomal protein L17,18,75160176,75163034,+
10346810,NM_001081050,MGI:1919301,Pard3b,par-3 partitioning defective 3 homolog B (C. elegans),1,61685398,62688858,+
10346838,NM_001081050,MGI:1919301,Pard3b,par-3 partitioning defective 3 homolog B (C. elegans),1,61685398,62688858,+
10346840,XR_033701,---,,,,,,
10346843,NM_001077403,MGI:1100492,Nrp2,neuropilin 2,1,62749859,62865269,+
10346867,NM_018796,MGI:1929520,Eef1b2,eukaryotic translation elongation factor 1 beta 2,1,63223399,63227060,+
10346874,---,---,,,,,,
10346876,---,---,,,,,,
10346878,ENSMUST00000114132,MGI:1921134,Zdbf2,"zinc finger, DBF-type containing 2",1,63319839,63361150,+
10346882,NM_011780,MGI:1345162,Adam23,a disintegrin and metallopeptidase domain 23,1,63492465,63642850,+
10346914,NM_172422,MGI:1922869,Fastkd2,FAST kinase domains 2,1,63777188,63801229,+
10346928,---,---,,,,,,
10346938,ENSMUST00000061282,---,,,,,,
10346941,---,---,,,,,,
10346943,NM_133828,MGI:88494,Creb1,cAMP responsive element binding protein 1,1,64579378,64651121,+
10346960,NM_001097644,MGI:2138614,Ccnyl1,cyclin Y-like 1,1,64737029,64772218,+
10346970,NM_011086,MGI:1335106,Pikfyve,"phosphoinositide kinase, FYVE finger containing",1,65233324,65320586,+
10347018,NM_139270,MGI:2180917,Pth2r,parathyroid hormone 2 receptor,1,65328630,65435818,+
10347033,NM_027010,MGI:88526,Crygf,"crystallin, gamma F",1,65973096,65974881,+
10347036,NM_001039934,MGI:97175,Mtap2,microtubule-associated protein 2,1,66221842,66489157,+
10347058,---,---,,,,,,
10347060,BC116430,MGI:2652882,Unc80,unc-80 homolog (C. elegans),1,66514941,66746440,+
10347073,ENSMUST00000050986,MGI:2652882,Unc80,unc-80 homolog (C. elegans),1,66514941,66746440,+
10347106,NM_025683,MGI:1913896,Rpe,ribulose-5-phosphate-3-epimerase,1,66747405,66766379,+
10347115,---,---,,,,,,
10347117,NM_001080809,MGI:891996,Cps1,carbamoyl-phosphate synthetase 1,1,67169600,67277833,+
10347158,---,---,,,,,,
10347163,NM_029160,MGI:1913972,Spag16,sperm associated antigen 16,1,69873562,70771706,+
10347186,---,---,,,,,,
10347188,BC094541,MGI:2444069,Vwc2l,von Willebrand factor C domain-containing protein 2-like,1,70772289,70931971,+
10347193,NM_026195,MGI:1351352,Atic,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,1,71603724,71626205,+
10347210,ENSMUST00000097699,MGI:3723449,Apol7d,apolipoprotein L 7d,1,71699411,71709417,+
10347214,---,---,,,,,,
10347216,ENSMUST00000072765,MGI:3643453,Gm5528,predicted gene 5528,1,72050862,72051344,+
10347218,---,---,,,,,,
10347220,---,---,,,,,,
10347222,---,---,,,,,,
10347224,---,---,,,,,,
10347226,NM_175564,MGI:2442781,Tmem169,transmembrane protein 169,1,72330943,72349678,+
10347232,NM_009533,MGI:104517,Xrcc5,X-ray repair complementing defective repair in Chinese hamster cells 5,1,72354094,72441522,+
10347254,NM_018817,MGI:1859183,Smarcal1,"SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1",1,72629825,72679708,+
10347273,NM_009084,MGI:98068,Rpl37a,ribosomal protein L37a,1,72757864,72760259,+
10347277,NM_008342,MGI:96437,Igfbp2,insulin-like growth factor binding protein 2,1,72871077,72899048,+
10347282,NM_001034060,MGI:3588214,Rufy4,RUN and FYVE domain containing 4,1,74172115,74194797,+
10347291,NM_009909,MGI:105303,Cxcr2,chemokine (C-X-C motif) receptor 2,1,74200563,74207812,+
10347295,---,---,,,,,,
10347297,NM_029711,MGI:1923959,Arpc2,"actin related protein 2/3 complex, subunit 2",1,74283071,74314783,+
10347307,NM_174985,MGI:2653863,Gpbar1,G protein-coupled bile acid receptor 1,1,74325174,74326163,+
10347310,NM_001039509,MGI:1930773,Pnkd,paroxysmal nonkinesiogenic dyskinesia,1,74331504,74400268,+
10347324,NM_001033345,MGI:2685062,Gm216,predicted gene 216,1,74408682,74415895,+
10347335,NM_013612,MGI:1345275,Slc11a1,"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",1,74421777,74432636,+
10347351,NM_153088,MGI:2654470,Ctdsp1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1",1,74438083,74443859,+
10347362,---,---,,,,,,
10347364,NM_009509,MGI:98930,Vil1,villin 1,1,74455950,74482133,+
10347386,NM_021383,MGI:1928902,Rqcd1,rcd1 (required for cell differentiation) homolog 1 (S. pombe),1,74552632,74577418,+
10347398,NM_001081456,MGI:107469,Plcd4,"phospholipase C, delta 4",1,74589462,74614368,+
10347417,NM_025784,MGI:1914071,Bcs1l,BCS1-like (yeast),1,74634863,74639017,+
10347427,NM_175031,MGI:1920831,Stk36,"serine/threonine kinase 36 (fused homolog, Drosophila)",1,74648019,74683468,+
10347460,NM_001014974,MGI:1914784,Ttll4,"tubulin tyrosine ligase-like family, member 4",1,74708319,74748406,+
10347481,NM_024264,MGI:88594,Cyp27a1,"cytochrome P450, family 27, subfamily a, polypeptide 1",1,74760148,74784464,+
10347491,NM_009526,MGI:98960,Wnt6,wingless-related MMTV integration site 6,1,74818466,74831893,+
10347497,NM_009518,MGI:108071,Wnt10a,wingless related MMTV integration site 10a,1,74838090,74850753,+
10347503,NM_009872,MGI:1330828,Cdk5r2,"cyclin-dependent kinase 5, regulatory subunit 2 (p39)",1,74901508,74904005,+
10347508,NM_170755,MGI:2388278,Fam134a,"family with sequence similarity 134, member A",1,75139360,75144483,+
10347521,NM_026846,MGI:1916068,Zfand2b,"zinc finger, AN1 type domain 2B",1,75165220,75168203,+
10347531,NM_026187,MGI:1098746,Ankzf1,ankyrin repeat and zinc finger domain containing 1,1,75188725,75195962,+
10347552,NM_011494,MGI:1313271,Stk16,serine/threonine kinase 16,1,75207413,75212181,+
10347564,NM_178055,MGI:1928739,Dnajb2,"DnaJ (Hsp40) homolog, subfamily B, member 2",1,75233040,75241379,+
10347583,NM_010043,MGI:94885,Des,desmin,1,75356904,75365154,+
10347593,NM_007463,MGI:109282,Speg,SPEG complex locus,1,75371872,75428895,+
10347639,NM_133708,MGI:1916330,Gmppa,GDP-mannose pyrophosphorylase A,1,75432505,75439754,+
10347650,NM_183022,MGI:2652846,Accn4,"amiloride-sensitive cation channel 4, pituitary",1,75447011,75470918,+
10347662,NM_177056,MGI:2443133,Tmem198,transmembrane protein 198,1,75476107,75482280,+
10347669,NM_010564,MGI:96569,Inha,inhibin alpha,1,75503652,75506941,+
10347672,NM_027886,MGI:1918978,Stk11ip,serine/threonine kinase 11 interacting protein,1,75518104,75533910,+
10347697,NM_009208,MGI:109350,Slc4a3,"solute carrier family 4 (anion exchanger), member 3",1,75542841,75558747,+
10347724,ENSMUST00000097692,---,,,,,,
10347726,XR_030615,---,,,,,,
10347728,XR_033098,---,,,,,,
10347730,---,---,,,,,,
10347732,---,---,,,,,,
10347734,NM_001004173,MGI:3589109,Sgpp2,sphingosine-1-phosphate phosphotase 2,1,78306921,78416861,+
10347741,NM_026713,MGI:1915643,Mogat1,monoacylglycerol O-acyltransferase 1,1,78507566,78534748,+
10347748,NM_028817,MGI:1921455,Acsl3,acyl-CoA synthetase long-chain family member 3,1,78654400,78703562,+
